member_id_no,hospital,hosp_address,hosp_hours,hosp_tel_no,hosp_designation,hosp_days,hosp_remarks,hosp_primary
4452,UP-PGH MEDICAL CENTER,,,,,,,0
3309,PHILIPPINE CHILDREN MEDICAL CENTER,,,,,,,1
0865,ASIAN HOSPITAL AND MEDICAL CENTER,,,,,,,1
2424,THE MEDICAL CITY,,,,,,,1
1578,DR. AMADO BLAS PROVINCIAL HOSPITAL,,,,,,,1
1442,PHILIPPINE HEART CENTER,,,,,,,0
4836,REGION 1 MEDICAL CENTER,,,,,,,0
3722,VALENZUELA MEDICAL CENTER,,,,,,,0
0901,MINDANAO SANITARIUM & HOSPITAL,,,,,,,1
1050,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,1
3347,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,1
4268,CHONG HUA HOSPITAL-MANDAUE,,,,,,,0
2826,EASTERN VISAYAS REGIONAL MEDICAL CENTER,,,,,,,1
3505,KIDAPAWAN DOCTORS HOSPITAL,,,,,,,0
0592,UROLOGY CENTER OF THE PHILIPPINES,,,,,,,0
3510,"SAN PEDRO HOSPITAL, DAVAO CITY",,,,,,,1
1251,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
2439,DAVAO DOCTORS HOSPITAL,,,,,,,1
1138,REMEDIOS T. ROMUALDEZ HOSPITAL,,,,,,,0
5145,MCU-FDTMF HOSPITAL,,,,,,,0
4125,UERM MEMORIAL MEDICAL CENTER,,,,,,,0
1227,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
3801,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
1259,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1259,UROLOGY CENTER OF THE PHILIPPINES,,,,,,,0
1138,TACLOBAN CITY HOSPITAL,,,,,,,1
1930,ST. VINCENT GENERAL HOSPITAL,,,,,,,1
2955,PHILIPPINE ORTHOPEDIC CENTER,,,,,,,1
1974,LA UNION MEDICAL CENTER,,,,,,,1
0534,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,,,,,1
